portal	method	path	title	handler	confidence	functional_note	controller_file	controller_method	params
用户端	GET	api/community/user/community/:id	userCommunitylst	api.community.Community/userCommunitylst	high		app/controller/api/community/Community.php	userCommunitylst	id,page,limit
用户端	GET	api/community/user/community_video/:id	userCommunityVideolst	api.community.Community/userCommunityVideolst	high		app/controller/api/community/Community.php	userCommunityVideolst	id,page,limit,is_star,community_id
用户端	GET	api/community/user/info/:id	userInfo	api.community.Community/userInfo	high		app/controller/api/community/Community.php	userInfo	id
用户端	GET	api/community/user_lst	userList	api.community.Community/userList	high		app/controller/api/community/Community.php	userList	page,limit,keyword
用户端	GET	api/community/video_lst	videoShow	api.community.Community/videoShow	high		app/controller/api/community/Community.php	videoShow	page,limit,id
用户端	GET	api/config	config	api.Common/config	high		app/controller/api/Common.php	config	
用户端	GET	api/copyright	copyright	api.Common/copyright	stale		app/controller/api/Common.php	copyright	
用户端	GET	api/coupon/getlst	getList	api.store.product.StoreCoupon/getList	high		app/controller/api/store/product/StoreCoupon.php	getList	page,limit,type,mer_id,product,region_id,is_pc,send_type
用户端	GET	api/coupon/list	lst	api.store.product.StoreCoupon/lst	high		app/controller/api/store/product/StoreCoupon.php	lst	page,limit,statusTag
用户端	GET	api/coupon/new_people	newPeople	api.store.product.StoreCoupon/newPeople	high		app/controller/api/store/product/StoreCoupon.php	newPeople	
用户端	GET	api/coupon/product	coupon	api.store.product.StoreCoupon/coupon	high		app/controller/api/store/product/StoreCoupon.php	coupon	ids
用户端	POST	api/coupon/receive/:id	receiveCoupon	api.store.product.StoreCoupon/receiveCoupon	high		app/controller/api/store/product/StoreCoupon.php	receiveCoupon	id
用户端	GET	api/coupon/store/:id	merCoupon	api.store.product.StoreCoupon/merCoupon	high		app/controller/api/store/product/StoreCoupon.php	merCoupon	id,all
用户端	GET	api/delivery/order/:id	deliveryOrderDetail	api.store.service.Delivery/orderDetail	high		app/controller/api/store/service/Delivery.php	orderDetail	id
用户端	POST	api/delivery/order/:id/confirm	confirm	api.store.service.Delivery/confirm	high		app/controller/api/store/service/Delivery.php	confirm	id,mer_id
用户端	POST	api/delivery/order/:id/mark	mark	api.store.service.Delivery/mark	high		app/controller/api/store/service/Delivery.php	mark	id,remark
用户端	POST	api/delivery/order/:id/receive	receive	api.store.service.Delivery/receive	high		app/controller/api/store/service/Delivery.php	receive	id
用户端	GET	api/delivery/order_lst	deliveryOrderLst	api.store.service.Delivery/order_lst	high		app/controller/api/store/service/Delivery.php	order_lst	page,limit,type,status,delivery_keywords
用户端	GET	api/discounts/lst	lst	api.store.product.Discounts/lst	high		app/controller/api/store/product/Discounts.php	lst	product_id,limit
用户端	GET	api/diy	diy	api.Common/diy	high		app/controller/api/Common.php	diy	id,did
用户端	GET	api/diy/assist	assist	api.Diy/assist	high		app/controller/api/Diy.php	assist	limit,region_id,mer_id
用户端	GET	api/diy/broadcast	broadcast	api.Diy/broadcast	high		app/controller/api/Diy.php	broadcast	mer_id,limit
用户端	GET	api/diy/category	category	api.Diy/category	high		app/controller/api/Diy.php	category	
用户端	GET	api/diy/community	community	api.Diy/community	high		app/controller/api/Diy.php	community	limit
用户端	GET	api/diy/coupon	coupon	api.Diy/coupon	high		app/controller/api/Diy.php	coupon	limit,mer_id,region_id
用户端	GET	api/diy/fab	fab	api.Diy/fab	high		app/controller/api/Diy.php	fab	
用户端	GET	api/diy/group	group	api.Diy/group	high		app/controller/api/Diy.php	group	limit,region_id,mer_id
用户端	GET	api/diy/hot_top	hot_top	api.Diy/hot_top	high		app/controller/api/Diy.php	hot_top	cate_pid,region_id
用户端	GET	api/diy/presell	presell	api.Diy/presell	high		app/controller/api/Diy.php	presell	limit,region_id,mer_id
用户端	GET	api/diy/productCategory	productCategory	api.Diy/productCategory	high		app/controller/api/Diy.php	productCategory	mer_id
用户端	GET	api/diy/product_detail	productDetail	api.Diy/productDetail	high		app/controller/api/Diy.php	productDetail	
用户端	GET	api/diy/seckill	seckill	api.Diy/seckill	high		app/controller/api/Diy.php	seckill	mer_id,region_id,limit
用户端	GET	api/diy/spu	spu	api.Diy/spu	high		app/controller/api/Diy.php	spu	cate_pid,product_ids,mer_id,mer_cate_id,order,latitude,longitude,limit
用户端	GET	api/diy/store	store	api.Diy/store	high		app/controller/api/Diy.php	store	type_id,category_id,is_best,order,latitude,longitude,sort,region_id,mer_id,limit
用户端	GET	api/excel/download/:id	download	merchant.store.order.Order/download	stale		app/controller/merchant/store/order/Order.php	download	
用户端	ANY	api/getVersion	getVersion	api.Common/getVersion	high		app/controller/api/Common.php	getVersion	
用户端	GET	api/has_service/:id	hasService	api.store.service.Service/hasService	high		app/controller/api/store/service/Service.php	hasService	id
用户端	GET	api/intention/business	business	api.store.merchant.MerchantIntention/business	high		app/controller/api/store/merchant/MerchantIntention.php	business	name
用户端	GET	api/intention/cate	cateLst	api.store.merchant.MerchantIntention/cateLst	high		app/controller/api/store/merchant/MerchantIntention.php	cateLst	
用户端	GET	api/intention/circles	circles	api.store.merchant.MerchantIntention/circles	high		app/controller/api/store/merchant/MerchantIntention.php	circles	type
用户端	POST	api/intention/create	create	api.store.merchant.MerchantIntention/create	high		app/controller/api/store/merchant/MerchantIntention.php	create	phone,mer_name,name,images,merchant_category_id,mer_type_id,circle_id,business_id
用户端	GET	api/intention/detail/:id	detail	api.store.merchant.MerchantIntention/detail	high		app/controller/api/store/merchant/MerchantIntention.php	detail	id
用户端	GET	api/intention/lst	lst	api.store.merchant.MerchantIntention/lst	high		app/controller/api/store/merchant/MerchantIntention.php	lst	page,limit
用户端	GET	api/intention/type	typeLst	api.store.merchant.MerchantIntention/typeLst	high		app/controller/api/store/merchant/MerchantIntention.php	typeLst	
用户端	POST	api/intention/update/:id	update	api.store.merchant.MerchantIntention/update	high		app/controller/api/store/merchant/MerchantIntention.php	update	id
用户端	GET	api/lbs/address	lbs_address	api.Common/lbs_address	high		app/controller/api/Common.php	lbs_address	region,address
用户端	GET	api/lbs/geocoder	lbs_geocoder	api.Common/lbs_geocoder	high		app/controller/api/Common.php	lbs_geocoder	location
用户端	POST	api/logout	logout	api.Auth/logout	high		app/controller/api/Auth.php	logout	
用户端	GET	api/micro	micro	api.Common/micro	high		app/controller/api/Common.php	micro	version,id
用户端	GET	api/navigation	getNavigation	api.Common/getNavigation	high		app/controller/api/Common.php	getNavigation	
用户端	ANY	api/notice/:type	wechatNotify	api.Common/notify	high		app/controller/api/Common.php	notify	type
用户端	ANY	api/notice/callback	deliveryNotify	api.Common/deliveryNotify	high		app/controller/api/Common.php	deliveryNotify	
用户端	ANY	api/notice/mchNotify/:type	mchNotify	api.Common/mchNotify	high		app/controller/api/Common.php	mchNotify	type
用户端	ANY	api/notice/pay/alipay	alipayNotify	api.Common/alipayNotify	high		app/controller/api/Common.php	alipayNotify	
用户端	GET	api/open_screen	open_screen	api.Common/open_screen	high		app/controller/api/Common.php	open_screen	
用户端	POST	api/order/cancel/:id	cancelGroupOrder	api.store.order.StoreOrder/cancelGroupOrder	high		app/controller/api/store/order/StoreOrder.php	cancelGroupOrder	id
用户端	GET	api/order/cashier_order/:id	getCashierOrder	api.store.order.StoreOrder/getCashierOrder	high		app/controller/api/store/order/StoreOrder.php	getCashierOrder	id
用户端	POST	api/order/check	checkOrder	api.store.order.StoreOrder/checkOrder	stale	【死路由】声明 StoreOrder::checkOrder，源码无此方法。勿实现。	app/controller/api/store/order/StoreOrder.php	checkOrder	
用户端	POST	api/order/create	createOrder	api.store.order.StoreOrder/createOrder	stale	【死路由】声明 StoreOrder::createOrder，源码无此方法。勿实现。	app/controller/api/store/order/StoreOrder.php	createOrder	
用户端	POST	api/order/del/:id	del	api.store.order.StoreOrder/del	high		app/controller/api/store/order/StoreOrder.php	del	id
用户端	GET	api/order/delivery/:id	getOrderDelivery	api.store.order.StoreOrder/getOrderDelivery	high		app/controller/api/store/order/StoreOrder.php	getOrderDelivery	id
用户端	GET	api/order/deliverySetings	deliveryConfig	api.store.order.StoreOrder/deliveryConfig	high		app/controller/api/store/order/StoreOrder.php	deliveryConfig	mer_id
用户端	GET	api/order/deliveryStation/list	deliveryStationList	api.store.order.StoreOrder/deliveryStationList	high		app/controller/api/store/order/StoreOrder.php	deliveryStationList	switch_city,switch_take,status,mer_id,address_id,name_and_address_search,longitude,latitude
用户端	GET	api/order/deliveryTrack/:id	deliveryTrack	api.store.order.StoreOrder/deliveryTrack	high		app/controller/api/store/order/StoreOrder.php	deliveryTrack	id
用户端	GET	api/order/detail/:id	detail	api.store.order.StoreOrder/detail	high		app/controller/api/store/order/StoreOrder.php	detail	id
用户端	POST	api/order/express/:id	express	api.store.order.StoreOrder/express	high		app/controller/api/store/order/StoreOrder.php	express	id
用户端	GET	api/order/group_order_detail/:id	groupOrderDetail	api.store.order.StoreOrder/groupOrderDetail	high		app/controller/api/store/order/StoreOrder.php	groupOrderDetail	id
用户端	GET	api/order/group_order_list	groupOrderList	api.store.order.StoreOrder/groupOrderList	high		app/controller/api/store/order/StoreOrder.php	groupOrderList	page,limit
用户端	GET	api/order/list	lst	api.store.order.StoreOrder/lst	high		app/controller/api/store/order/StoreOrder.php	lst	page,limit,status,store_name
用户端	GET	api/order/number	number	api.store.order.StoreOrder/number	high		app/controller/api/store/order/StoreOrder.php	number	
用户端	POST	api/order/pay/:id	groupOrderPay	api.store.order.StoreOrder/groupOrderPay	high	【普通/拼团等组订单支付】StoreOrder::groupOrderPay；points/pay 同方法 append is_points=1	app/controller/api/store/order/StoreOrder.php	groupOrderPay	id,type,is_points,return_url
