portal	module	page	action	crud	source	identifier
平台后台	商品 / 品牌管理 / 品牌分类	品牌分类	详情	R	菜单权限	systemStoreBrandCategoryDtailt
平台后台	商品 / 品牌管理 / 品牌分类	品牌分类	添加	C	菜单权限	systemStoreBrandCategoryCreate
平台后台	商品 / 品牌管理 / 品牌分类	品牌分类	删除	D	菜单权限	systemStoreBrandCategoryDelete
平台后台	商品 / 品牌管理 / 品牌分类	品牌分类	修改状态	U	菜单权限	systemStoreBrandCategorySwitchStatus
平台后台	商品 / 品牌管理 / 品牌列表	品牌列表	列表	R	菜单权限	systemStoreBrandLst
平台后台	商品 / 品牌管理 / 品牌列表	品牌列表	修改状态	U	菜单权限	systemStoreBrandSwithStatus
平台后台	商品 / 品牌管理 / 品牌列表	品牌列表	添加	C	菜单权限	systemStoreBrandCreate
平台后台	商品 / 品牌管理 / 品牌列表	品牌列表	编辑	U	菜单权限	systemStoreBrandUpdate
平台后台	商品 / 品牌管理 / 品牌列表	品牌列表	删除	D	菜单权限	systemStoreBrandDelete
平台后台	商品 / 商品分类	商品分类	编辑	U	菜单权限	systemStoreCategoryUpdate
平台后台	商品 / 商品分类	商品分类	列表	R	菜单权限	systemStoreCategoryLst
平台后台	商品 / 商品分类	商品分类	详情	R	菜单权限	systemStoreCategoryDtailt
平台后台	商品 / 商品分类	商品分类	添加	C	菜单权限	systemStoreCategoryCreate
平台后台	商品 / 商品分类	商品分类	删除	D	菜单权限	systemStoreCategoryDelete
平台后台	商品 / 商品分类	商品分类	修改状态	U	菜单权限	systemStoreCategorySwitchStatus
平台后台	商品 / 商品分类	商品分类	修改推荐	U	菜单权限	systemStoreCategorySwitchIsHot
平台后台	商品 / 商品分类	商品分类	上传图片	C	菜单权限	uploadImage
平台后台	商品 / 商品分类	商品分类	图片列表	R	菜单权限	systemAttachmentLst
平台后台	商品 / 商品参数	商品参数	编辑	U	路由	systemStoreParameterTemplateUpdate
平台后台	商品 / 商品参数	商品参数	删除属性	D	路由	systemStoreParameterTemplateDeleteValue
平台后台	商品 / 商品参数	商品参数	添加表单	C	路由	systemStoreCategoryCreateForm
平台后台	商品 / 商品参数	商品参数	编辑表单	U	路由	systemStoreCategoryUpdateForm
平台后台	商品 / 商品参数	商品参数	编辑	U	路由	systemStoreCategoryUpdate
平台后台	商品 / 商品参数	商品参数	列表	R	路由	systemStoreCategoryLst
平台后台	商品 / 商品参数	商品参数	详情	R	路由	systemStoreCategoryDtailt
平台后台	商品 / 商品参数	商品参数	添加	C	路由	systemStoreCategoryCreate
平台后台	商品 / 商品参数	商品参数	删除	D	路由	systemStoreCategoryDelete
平台后台	商品 / 商品参数	商品参数	修改状态	U	路由	systemStoreCategorySwitchStatus
平台后台	商品 / 商品参数	商品参数	修改推荐	U	路由	systemStoreCategorySwitchIsHot
平台后台	商品 / 商品参数 / 平台商品参数	平台商品参数	平台参数列表	R	菜单权限	systemStoreParameterTemplateLst
平台后台	商品 / 商品参数 / 平台商品参数	平台商品参数	详情	R	菜单权限	systemStoreParameterTemplateDetail
平台后台	商品 / 商品参数 / 平台商品参数	平台商品参数	删除	D	菜单权限	systemStoreParameterTemplateDelete
平台后台	商品 / 商品参数 / 平台商品参数	平台商品参数	添加	C	菜单权限	systemStoreParameterTemplateCreate
平台后台	商品 / 商品参数 / 平台商品参数	平台商品参数	编辑	U	菜单权限	systemStoreParameterTemplateUpdate
平台后台	商品 / 商品参数 / 平台商品参数	平台商品参数	删除属性	D	菜单权限	systemStoreParameterTemplateDeleteValue
平台后台	商品 / 商品参数 / 店铺商品参数	店铺商品参数	商户参数模板	R	菜单权限	systemStoreParameterTemplateMerLst
平台后台	商品 / 商品标签	商品标签	列表	R	菜单权限	systemStoreProductLabelLst
平台后台	商品 / 商品标签	商品标签	添加	C	菜单权限	systemStoreProductLabelCreate
平台后台	商品 / 商品标签	商品标签	编辑	U	菜单权限	systemStoreProductLabelUpdate
平台后台	商品 / 商品标签	商品标签	详情	R	菜单权限	systemStoreProductLabelDetail
平台后台	商品 / 商品标签	商品标签	删除	D	菜单权限	systemStoreProductLabelDelete
平台后台	商品 / 商品标签	商品标签	修改状态	U	菜单权限	systemStoreProductLabelStatus
平台后台	商品 / 商品管理	商品管理	统计	R	菜单权限	systemStoreProductLstFilter
平台后台	商品 / 商品管理	商品管理	列表	R	菜单权限	systemStoreProductLst
平台后台	商品 / 商品管理	商品管理	详情	R	菜单权限	systemStoreProductDetail
平台后台	商品 / 商品管理	商品管理	编辑	U	菜单权限	systemStoreProductUpdate
平台后台	商品 / 商品管理	商品管理	上下架	U	菜单权限	systemStoreProductSwitchStatus
平台后台	商品 / 商品管理	商品管理	分销状态变更商品检测	U	菜单权限	systemStoreProductCheck
平台后台	商品 / 商品管理	商品管理	显示/隐藏	U	菜单权限	systemStoreProductChangeUsed
平台后台	商品 / 商品管理	商品管理	虚拟销量	C	菜单权限	systemStoreProductAddFicti
平台后台	商品 / 商品管理	商品管理	设置标签	U	菜单权限	systemStoreProductLabels
平台后台	商品 / 商品管理	商品管理	批量上下架	U	菜单权限	systemStoreProductSwitchBatchStatus
平台后台	商品 / 商品管理	商品管理	批量设置标签	U	菜单权限	systemStoreProductSwitchBatchLabels
平台后台	商品 / 商品管理	商品管理	批量设置推荐	U	菜单权限	systemStoreProductSwitchBatchHot
平台后台	商品 / 商品管理	商品管理	获取商品操作记录	R	菜单权限	systemStoreProductGetOperateList
平台后台	商品 / 商品管理	商品管理	获取自营商品列表	R	菜单权限	systemStoreProductGetSelfProductList
平台后台	商品 / 商品管理	商品管理	批量设置分类推荐	U	菜单权限	systemStoreProductSwitchBatchCateHot
平台后台	商品 / 商品管理	商品管理	批量复制商品到店铺	C	菜单权限	systemStoreProductBatchCopy
平台后台	商品 / 商品管理	商品管理	统计	R	菜单权限	systemStoreProductLstFilter
平台后台	商品 / 商品管理	商品管理	列表	R	菜单权限	systemStoreProductLst
平台后台	商品 / 商品管理	商品管理	详情	R	菜单权限	systemStoreProductDetail
平台后台	商品 / 商品管理	商品管理	编辑	U	菜单权限	systemStoreProductUpdate
平台后台	商品 / 商品管理	商品管理	上下架	U	菜单权限	systemStoreProductSwitchStatus
平台后台	商品 / 商品管理	商品管理	批量上下架	U	菜单权限	systemStoreProductSwitchBatchStatus
平台后台	商品 / 商品管理	商品管理	批量设置标签	U	菜单权限	systemStoreProductSwitchBatchLabels
平台后台	商品 / 商品管理	商品管理	批量设置推荐	U	菜单权限	systemStoreProductSwitchBatchHot
平台后台	商品 / 商品管理	商品管理	批量设置分类推荐	U	菜单权限	systemStoreProductSwitchBatchCateHot
平台后台	商品 / 商品管理	商品管理	分销状态变更商品检测	U	菜单权限	systemStoreProductCheck
平台后台	商品 / 商品管理	商品管理	显示/隐藏	U	菜单权限	systemStoreProductChangeUsed
平台后台	商品 / 商品管理	商品管理	虚拟销量	C	菜单权限	systemStoreProductAddFicti
平台后台	商品 / 商品管理	商品管理	设置标签	U	菜单权限	systemStoreProductLabels
平台后台	商品 / 商品管理	商品管理	获取商品操作记录	R	菜单权限	systemStoreProductGetOperateList
平台后台	商品 / 商品管理	商品管理	获取自营商品列表	R	菜单权限	systemStoreProductGetSelfProductList
平台后台	商品 / 商品管理	商品管理	批量复制商品到店铺	C	菜单权限	systemStoreProductBatchCopy
平台后台	商品 / 商品管理	商品管理	统计	R	菜单权限	systemStoreProductLstFilter
平台后台	商品 / 商品管理	商品管理	列表	R	菜单权限	systemStoreProductLst
平台后台	商品 / 商品管理	商品管理	详情	R	菜单权限	systemStoreProductDetail
平台后台	商品 / 商品管理	商品管理	编辑	U	菜单权限	systemStoreProductUpdate
平台后台	商品 / 商品管理	商品管理	上下架	U	菜单权限	systemStoreProductSwitchStatus
平台后台	商品 / 商品管理	商品管理	批量上下架	U	菜单权限	systemStoreProductSwitchBatchStatus
平台后台	商品 / 商品管理	商品管理	批量设置标签	U	菜单权限	systemStoreProductSwitchBatchLabels
平台后台	商品 / 商品管理	商品管理	批量设置推荐	U	菜单权限	systemStoreProductSwitchBatchHot
平台后台	商品 / 商品管理	商品管理	批量设置分类推荐	U	菜单权限	systemStoreProductSwitchBatchCateHot
平台后台	商品 / 商品管理	商品管理	分销状态变更商品检测	U	菜单权限	systemStoreProductCheck
平台后台	商品 / 商品管理	商品管理	显示/隐藏	U	菜单权限	systemStoreProductChangeUsed
平台后台	商品 / 商品管理	商品管理	虚拟销量	C	菜单权限	systemStoreProductAddFicti
平台后台	商品 / 商品管理	商品管理	设置标签	U	菜单权限	systemStoreProductLabels
平台后台	商品 / 商品管理	商品管理	获取商品操作记录	R	菜单权限	systemStoreProductGetOperateList
平台后台	商品 / 商品管理	商品管理	获取自营商品列表	R	菜单权限	systemStoreProductGetSelfProductList
平台后台	商品 / 商品管理	商品管理	批量复制商品到店铺	C	菜单权限	systemStoreProductBatchCopy
平台后台	商品 / 活动标签	活动标签	(页面入口)	R	待补	
平台后台	商品 / 评论管理	评论管理	列表	R	菜单权限	systemProductReplyLst
