portal	module	page	action	crud	source	identifier
平台后台	维护 / 开发配置 / 组合数据	组合数据	图片列表	R	菜单权限	systemAttachmentLst
平台后台	维护 / 操作日志	操作日志	操作日志	R	菜单权限	systemAdminLog
平台后台	维护 / 配置分类	配置分类	配置分类添加	CU	菜单权限	configClassifyCreate
平台后台	维护 / 配置分类	配置分类	配置分类删除	UD	菜单权限	configClassifyDelete
平台后台	维护 / 配置分类	配置分类	配置分类编辑	U	菜单权限	configClassifyUpdate
平台后台	维护 / 配置分类	配置分类	配置分类修改状态	U	菜单权限	configClassifySwitchStatus
平台后台	维护 / 配置分类	配置分类	配置分类列表	RU	菜单权限	configClassifyLst
平台后台	维护 / 配置管理	配置管理	配置添加	CU	菜单权限	configSettingCreate
平台后台	维护 / 配置管理	配置管理	配置编辑	U	菜单权限	configSettingUpdate
平台后台	维护 / 配置管理	配置管理	配置修改状态	U	菜单权限	configSettingSwitchStatus
平台后台	维护 / 配置管理	配置管理	配置列表	RU	菜单权限	configSettingLst
平台后台	维护 / 配置管理	配置管理	配置删除	UD	菜单权限	configSettingDelete
平台后台	维护 / 页面链接	页面链接	(页面入口)	R	待补	
平台后台	营销	营销	列表	R	路由	systemStoreCouponLst
平台后台	营销	营销	使用记录	R	路由	systemCouponIssue
平台后台	营销 / 专场列表	专场列表	详情	R	菜单权限	groupDetail
平台后台	营销 / 专场列表	专场列表	列表	R	菜单权限	groupDataLst
平台后台	营销 / 专场列表	专场列表	添加	C	菜单权限	groupDataCreate
平台后台	营销 / 专场列表	专场列表	编辑	U	菜单权限	groupDataUpdate
平台后台	营销 / 专场列表	专场列表	删除	D	菜单权限	groupDataDelete
平台后台	营销 / 专场列表	专场列表	修改状态	U	菜单权限	groupDataChangeStatus
平台后台	营销 / 专场列表	专场列表	上传图片	C	菜单权限	uploadImage
平台后台	营销 / 专场列表	专场列表	图片列表	R	菜单权限	systemAttachmentLst
平台后台	营销 / 优惠套餐	优惠套餐	优惠套餐列表	R	菜单权限	systemStoreDiscountsLst
平台后台	营销 / 优惠套餐	优惠套餐	优惠套餐详情	R	菜单权限	systemStoreDiscountsDetail
平台后台	营销 / 优惠套餐	优惠套餐	优惠套餐修改状态	U	菜单权限	systemStoreDiscountsStatus
平台后台	营销 / 优惠套餐	优惠套餐	上传图片	C	菜单权限	uploadImage
平台后台	营销 / 优惠套餐	优惠套餐	图片列表	R	菜单权限	systemAttachmentLst
平台后台	营销 / 优惠套餐	优惠套餐	价格说明列表	R	菜单权限	systemPriceRuleLst
平台后台	营销 / 优惠套餐	优惠套餐	添加价格说明	C	菜单权限	systemPriceRuleCreate
平台后台	营销 / 优惠套餐	优惠套餐	修改价格说明	U	菜单权限	systemPriceRuleUpdate
平台后台	营销 / 优惠套餐	优惠套餐	价格说明修改状态	U	菜单权限	systemPriceRuleStatus
平台后台	营销 / 优惠套餐	优惠套餐	删除价格说明	D	菜单权限	systemPriceRuleDelete
平台后台	营销 / 余额充值	余额充值	(页面入口)	R	待补	
平台后台	营销 / 余额充值 / 余额充值配置	余额充值配置	详情	R	菜单权限	groupDetail
平台后台	营销 / 余额充值 / 余额充值配置	余额充值配置	列表	R	菜单权限	groupDataLst
平台后台	营销 / 余额充值 / 余额充值配置	余额充值配置	添加	C	菜单权限	groupDataCreate
平台后台	营销 / 余额充值 / 余额充值配置	余额充值配置	编辑	U	菜单权限	groupDataUpdate
平台后台	营销 / 余额充值 / 余额充值配置	余额充值配置	删除	D	菜单权限	groupDataDelete
平台后台	营销 / 余额充值 / 余额充值配置	余额充值配置	修改状态	U	菜单权限	groupDataChangeStatus
平台后台	营销 / 余额充值 / 余额充值配置	余额充值配置	上传图片	C	菜单权限	uploadImage
平台后台	营销 / 余额充值 / 余额充值配置	余额充值配置	图片列表	R	菜单权限	systemAttachmentLst
平台后台	营销 / 余额充值 / 余额设置	余额设置	编辑配置信息	CU	菜单权限	configSave
平台后台	营销 / 助力	助力	(页面入口)	R	待补	
平台后台	营销 / 助力 / 助力活动	助力活动	列表	R	菜单权限	systemStoreProductAssistSetLst
平台后台	营销 / 助力 / 助力活动	助力活动	详情	R	菜单权限	systemStoreProductAssistSetDetail
平台后台	营销 / 助力 / 助力活动	助力活动	列表	R	菜单权限	systemStoreProductAssistSetLst
平台后台	营销 / 助力 / 助力活动	助力活动	详情	R	菜单权限	systemStoreProductAssistSetDetail
平台后台	营销 / 助力 / 助力活动	助力活动	列表	R	菜单权限	systemStoreProductAssistSetLst
平台后台	营销 / 助力 / 助力活动	助力活动	详情	R	菜单权限	systemStoreProductAssistSetDetail
平台后台	营销 / 助力 / 活动商品	活动商品	列表	R	菜单权限	systemStoreProductAssistLst
平台后台	营销 / 助力 / 活动商品	活动商品	显示/隐藏	U	菜单权限	systemStoreProductAssistShow
平台后台	营销 / 助力 / 活动商品	活动商品	详情	R	菜单权限	systemStoreProductAssistDetail
平台后台	营销 / 助力 / 活动商品	活动商品	编辑	U	菜单权限	systemStoreProductAssistProductUpdate
平台后台	营销 / 助力 / 活动商品	活动商品	审核	U	菜单权限	systemStoreProductAssistStatus
平台后台	营销 / 助力 / 活动商品	活动商品	编辑数据	RU	菜单权限	systemStoreProductAssistGet
平台后台	营销 / 助力 / 活动商品	活动商品	设置标签	U	菜单权限	systemStoreProductAssistLabels
平台后台	营销 / 助力 / 活动商品	活动商品	列表	R	菜单权限	systemStoreProductAssistLst
平台后台	营销 / 助力 / 活动商品	活动商品	显示/隐藏	U	菜单权限	systemStoreProductAssistShow
平台后台	营销 / 助力 / 活动商品	活动商品	详情	R	菜单权限	systemStoreProductAssistDetail
平台后台	营销 / 助力 / 活动商品	活动商品	编辑	U	菜单权限	systemStoreProductAssistProductUpdate
平台后台	营销 / 助力 / 活动商品	活动商品	审核	U	菜单权限	systemStoreProductAssistStatus
平台后台	营销 / 助力 / 活动商品	活动商品	编辑数据	RU	菜单权限	systemStoreProductAssistGet
平台后台	营销 / 助力 / 活动商品	活动商品	设置标签	U	菜单权限	systemStoreProductAssistLabels
平台后台	营销 / 助力 / 活动商品	活动商品	列表	R	菜单权限	systemStoreProductAssistLst
平台后台	营销 / 助力 / 活动商品	活动商品	显示/隐藏	U	菜单权限	systemStoreProductAssistShow
平台后台	营销 / 助力 / 活动商品	活动商品	详情	R	菜单权限	systemStoreProductAssistDetail
平台后台	营销 / 助力 / 活动商品	活动商品	编辑	U	菜单权限	systemStoreProductAssistProductUpdate
平台后台	营销 / 助力 / 活动商品	活动商品	审核	U	菜单权限	systemStoreProductAssistStatus
平台后台	营销 / 助力 / 活动商品	活动商品	编辑数据	RU	菜单权限	systemStoreProductAssistGet
平台后台	营销 / 助力 / 活动商品	活动商品	设置标签	U	菜单权限	systemStoreProductAssistLabels
平台后台	营销 / 商户优惠券	商户优惠券	列表	R	路由	systemStoreCouponLst
平台后台	营销 / 商户优惠券	商户优惠券	使用记录	R	路由	systemCouponIssue
平台后台	营销 / 商户优惠券 / 优惠券列表	优惠券列表	列表	R	菜单权限	systemStoreCouponLst
平台后台	营销 / 商户优惠券 / 优惠券列表	优惠券列表	详情	R	菜单权限	systemCouponDetail
平台后台	营销 / 商户优惠券 / 优惠券列表	优惠券列表	商品列表	R	菜单权限	systemCouponProduct
平台后台	营销 / 商户优惠券 / 领取记录	领取记录	使用记录	R	菜单权限	systemCouponIssue
平台后台	营销 / 平台优惠券	平台优惠券	详情	R	路由	systemCouponShow
平台后台	营销 / 平台优惠券	平台优惠券	使用记录	R	路由	systemCouponIssue
平台后台	营销 / 平台优惠券	平台优惠券	复制表单	C	路由	systemCouponCloneForm
平台后台	营销 / 平台优惠券 / 优惠券列表	优惠券列表	添加	C	菜单权限	systemCouponCreate
平台后台	营销 / 平台优惠券 / 优惠券列表	优惠券列表	编辑	U	菜单权限	systemCouponUpdate
平台后台	营销 / 平台优惠券 / 优惠券列表	优惠券列表	删除	D	菜单权限	systemCouponDelete
平台后台	营销 / 平台优惠券 / 优惠券列表	优惠券列表	修改状态	U	菜单权限	systemCouponStatus
平台后台	营销 / 平台优惠券 / 优惠券列表	优惠券列表	列表	R	菜单权限	systemCouponList
平台后台	营销 / 平台优惠券 / 优惠券列表	优惠券列表	详情	RU	菜单权限	systemCouponShow
平台后台	营销 / 平台优惠券 / 优惠券列表	优惠券列表	详情关联列表	RU	菜单权限	systemCouponShowLst
平台后台	营销 / 平台优惠券 / 优惠券列表	优惠券列表	上传图片	C	菜单权限	uploadImage
平台后台	营销 / 平台优惠券 / 优惠券列表	优惠券列表	图片列表	R	菜单权限	systemAttachmentLst
平台后台	营销 / 平台优惠券 / 使用说明	使用说明	使用说明	C	菜单权限	systemAgreeSave
平台后台	营销 / 平台优惠券 / 发送记录	发送记录	发送记录	CR	菜单权限	systemCouponSendLst
平台后台	营销 / 平台优惠券 / 领取记录	领取记录	使用记录	R	菜单权限	systemCouponIssue
平台后台	营销 / 报名活动	报名活动	添加	C	菜单权限	systemActivityFormCreate
平台后台	营销 / 报名活动	报名活动	列表	R	菜单权限	systemActivityFormLst
平台后台	营销 / 报名活动	报名活动	编辑	U	菜单权限	systemActivityFormUpdate
平台后台	营销 / 报名活动	报名活动	详情	R	菜单权限	systemActivityFormDetail
平台后台	营销 / 报名活动	报名活动	删除	D	菜单权限	systemActivityFormDelete
平台后台	营销 / 报名活动	报名活动	修改状态	U	菜单权限	systemActivityFormStatus
平台后台	营销 / 报名活动	报名活动	活动记录	R	菜单权限	systemFormActivUserLst
平台后台	营销 / 报名活动	报名活动	活动记录导出	R	菜单权限	systemFormActivUserExcel
平台后台	营销 / 报名活动	报名活动	上传图片	C	菜单权限	uploadImage
平台后台	营销 / 报名活动	报名活动	图片列表	R	菜单权限	systemAttachmentLst
平台后台	营销 / 拼团	拼团	排序	U	路由	systemStoreProductGroupSort
平台后台	营销 / 拼团	拼团	设置标签	C	路由	systemStoreProductGroupLabels
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	列表	R	菜单权限	systemStoreProductGroupLst
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	显示/隐藏	U	菜单权限	systemStoreProductGroupShow
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	详情	R	菜单权限	systemStoreProductGroupDetail
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	编辑	U	菜单权限	systemStoreProductGroupProductUpdate
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	审核	U	菜单权限	systemStoreProductGroupStatus
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	编辑数据	RU	菜单权限	systemStoreProductGroupGet
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	排序	U	菜单权限	systemStoreProductGroupSort
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	设置标签	U	菜单权限	systemStoreProductGroupLabels
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	列表	R	菜单权限	systemStoreProductGroupLst
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	显示/隐藏	U	菜单权限	systemStoreProductGroupShow
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	详情	R	菜单权限	systemStoreProductGroupDetail
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	编辑	U	菜单权限	systemStoreProductGroupProductUpdate
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	审核	U	菜单权限	systemStoreProductGroupStatus
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	编辑数据	RU	菜单权限	systemStoreProductGroupGet
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	排序	U	菜单权限	systemStoreProductGroupSort
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	设置标签	U	菜单权限	systemStoreProductGroupLabels
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	列表	R	菜单权限	systemStoreProductGroupLst
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	显示/隐藏	U	菜单权限	systemStoreProductGroupShow
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	详情	R	菜单权限	systemStoreProductGroupDetail
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	编辑	U	菜单权限	systemStoreProductGroupProductUpdate
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	审核	U	菜单权限	systemStoreProductGroupStatus
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	编辑数据	RU	菜单权限	systemStoreProductGroupGet
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	排序	U	菜单权限	systemStoreProductGroupSort
平台后台	营销 / 拼团 / 拼团商品列表	拼团商品列表	设置标签	U	菜单权限	systemStoreProductGroupLabels
平台后台	营销 / 拼团 / 拼团活动列表	拼团活动列表	列表	R	菜单权限	systemStoreProductGroupBuyingLst
平台后台	营销 / 拼团 / 拼团活动列表	拼团活动列表	详情	R	菜单权限	systemStoreProductGroupBuyingDetail
平台后台	营销 / 拼团 / 拼团活动列表	拼团活动列表	列表	R	菜单权限	systemStoreProductGroupBuyingLst
平台后台	营销 / 拼团 / 拼团活动列表	拼团活动列表	详情	R	菜单权限	systemStoreProductGroupBuyingDetail
平台后台	营销 / 拼团 / 拼团活动列表	拼团活动列表	列表	R	菜单权限	systemStoreProductGroupBuyingLst
平台后台	营销 / 拼团 / 拼团活动列表	拼团活动列表	详情	R	菜单权限	systemStoreProductGroupBuyingDetail
平台后台	营销 / 拼团 / 拼团设置	拼团设置	配置保存	CU	菜单权限	configOthersGroupBuyingUpdate
平台后台	营销 / 活动氛围图	活动氛围图	添加	C	菜单权限	systemActivityAtmosphereCreate
平台后台	营销 / 活动氛围图	活动氛围图	列表	R	菜单权限	systemActivityAtmosphereLst
平台后台	营销 / 活动氛围图	活动氛围图	编辑	U	菜单权限	systemActivityAtmosphereUpdate
平台后台	营销 / 活动氛围图	活动氛围图	详情	R	菜单权限	systemActivityAtmosphereDetail
平台后台	营销 / 活动氛围图	活动氛围图	删除	D	菜单权限	systemActivityAtmosphereDelete
平台后台	营销 / 活动氛围图	活动氛围图	修改状态	U	菜单权限	systemActivityAtmosphereStatus
平台后台	营销 / 活动氛围图	活动氛围图	上传图片	C	菜单权限	uploadImage
平台后台	营销 / 活动氛围图	活动氛围图	图片列表	R	菜单权限	systemAttachmentLst
平台后台	营销 / 活动边框图	活动边框图	添加	C	菜单权限	systemActivityBorderCreate
平台后台	营销 / 活动边框图	活动边框图	列表	R	菜单权限	systemActivityBorderLst
平台后台	营销 / 活动边框图	活动边框图	编辑	U	菜单权限	systemActivityBorderUpdate
平台后台	营销 / 活动边框图	活动边框图	详情	R	菜单权限	systemActivityBorderDetail
平台后台	营销 / 活动边框图	活动边框图	删除	D	菜单权限	systemActivityBorderDelete
平台后台	营销 / 活动边框图	活动边框图	修改状态	U	菜单权限	systemActivityBorderStatus
平台后台	营销 / 活动边框图	活动边框图	上传图片	C	菜单权限	uploadImage
平台后台	营销 / 活动边框图	活动边框图	图片列表	R	菜单权限	systemAttachmentLst
平台后台	营销 / 直播	直播	(页面入口)	R	待补	
平台后台	营销 / 直播 / 直播商品管理	直播商品管理	列表	R	菜单权限	systemBroadcastGoodsLst
平台后台	营销 / 直播 / 直播商品管理	直播商品管理	详情	R	菜单权限	systemBroadcastGoodsDetail
平台后台	营销 / 直播 / 直播商品管理	直播商品管理	审核	U	菜单权限	systemBroadcastGoodsApply
平台后台	营销 / 直播 / 直播商品管理	直播商品管理	修改状态	U	菜单权限	systemBroadcastGoodsChangeStatus
平台后台	营销 / 直播 / 直播商品管理	直播商品管理	排序	U	菜单权限	systemBroadcastGoodsSort
平台后台	营销 / 直播 / 直播商品管理	直播商品管理	删除	D	菜单权限	systemBroadcastGoodsDelete
平台后台	营销 / 直播 / 直播间管理	直播间管理	列表	R	菜单权限	systemBroadcastRoomLst
平台后台	营销 / 直播 / 直播间管理	直播间管理	详情	R	菜单权限	systemBroadcastRoomDetail
平台后台	营销 / 直播 / 直播间管理	直播间管理	申请	C	菜单权限	systemBroadcastRoomApply
平台后台	营销 / 直播 / 直播间管理	直播间管理	修改状态	U	菜单权限	systemBroadcastRoomChangeStatus
平台后台	营销 / 直播 / 直播间管理	直播间管理	排序	U	菜单权限	systemBroadcastRoomSort
平台后台	营销 / 直播 / 直播间管理	直播间管理	修改状态	U	菜单权限	systemBroadcastRoomChangeLiveStatus
平台后台	营销 / 直播 / 直播间管理	直播间管理	删除	D	菜单权限	systemBroadcastRoomDelete
平台后台	营销 / 直播 / 直播间管理	直播间管理	商品列表	R	菜单权限	systemBroadcastRoomGoods
平台后台	营销 / 直播 / 直播间管理	直播间管理	客服开关	U	菜单权限	systemBroadcastRoomCloseKf
平台后台	营销 / 直播 / 直播间管理	直播间管理	禁言开关	U	菜单权限	systemBroadcastRoomCloseComment
平台后台	营销 / 直播 / 直播间管理	直播间管理	收录开关	U	菜单权限	systemBroadcastRoomClosesFeeds
平台后台	营销 / 秒杀	秒杀	排序	U	路由	systemSeckillConfigStatus
平台后台	营销 / 秒杀	秒杀	删除	D	路由	systemSeckillConfigDelete
平台后台	营销 / 秒杀	秒杀	列表	R	路由	systemSeckillActiveGetActiveList
平台后台	营销 / 秒杀	秒杀	详情	R	路由	systemSeckillActiveGetActiveInfo
平台后台	营销 / 秒杀	秒杀	列表	R	路由	systemSeckillActiveGetActiveAll
平台后台	营销 / 秒杀	秒杀	创建	C	路由	systemSeckillActiveCreateActive
平台后台	营销 / 秒杀	秒杀	编辑	U	路由	systemSeckillActiveUpdateActive
平台后台	营销 / 秒杀	秒杀	编辑状态	U	路由	systemSeckillActiveUpdateActiveStatus
平台后台	营销 / 秒杀	秒杀	删除	D	路由	systemSeckillActiveDeleteActive
平台后台	营销 / 秒杀	秒杀	活动统计数据面板	R	路由	systemSeckillActiveChartPanel
平台后台	营销 / 秒杀	秒杀	活动参与人统计列表	R	路由	systemSeckillActiveChartPeople
平台后台	营销 / 秒杀	秒杀	活动订单统计列表	R	路由	systemSeckillActiveChartOrder
平台后台	营销 / 秒杀	秒杀	活动商品统计列表	R	路由	systemSeckillActiveChartProduct
平台后台	营销 / 秒杀	秒杀	统计	R	路由	systemStoreSeckillProductLstFilter
平台后台	营销 / 秒杀	秒杀	列表	R	路由	systemStoreSeckillProductPageLst
平台后台	营销 / 秒杀	秒杀	列表	R	路由	systemStoreSeckillProductLst
平台后台	营销 / 秒杀	秒杀	详情	R	路由	systemStoreSeckillProductDetail
平台后台	营销 / 秒杀	秒杀	编辑	U	路由	systemStoreSeckillProductUpdate
平台后台	营销 / 秒杀	秒杀	审核	U	路由	systemStoreSeckillProductSwitchStatus
平台后台	营销 / 秒杀	秒杀	审核表单	U	路由	systemStoreSeckillProductSwitchStatusForm
平台后台	营销 / 秒杀	秒杀	显示/隐藏	U	路由	systemStoreSeckillProductChangeUsed
平台后台	营销 / 秒杀	秒杀	设置标签	C	路由	systemStoreSeckillProductLabels
平台后台	营销 / 秒杀	秒杀	加入回收站	C	路由	systemStoreSeckillProductDelete
平台后台	营销 / 秒杀	秒杀	删除	D	路由	systemStoreSeckillProductDestory
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	列表	R	菜单权限	systemSeckillActiveGetActiveList
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	详情	R	菜单权限	systemSeckillActiveGetActiveInfo
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	创建	C	菜单权限	systemSeckillActiveCreateActive
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	编辑	U	菜单权限	systemSeckillActiveUpdateActive
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	编辑状态	U	菜单权限	systemSeckillActiveUpdateActiveStatus
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	删除	D	菜单权限	systemSeckillActiveDeleteActive
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	活动统计数据面板	R	菜单权限	systemSeckillActiveChartPanel
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	活动参与人统计列表	R	菜单权限	systemSeckillActiveChartPeople
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	活动订单统计列表	R	菜单权限	systemSeckillActiveChartOrder
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	活动商品统计列表	R	菜单权限	systemSeckillActiveChartProduct
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	列表	R	菜单权限	systemSeckillActiveGetActiveList
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	详情	R	菜单权限	systemSeckillActiveGetActiveInfo
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	创建	C	菜单权限	systemSeckillActiveCreateActive
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	编辑	U	菜单权限	systemSeckillActiveUpdateActive
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	编辑状态	U	菜单权限	systemSeckillActiveUpdateActiveStatus
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	删除	D	菜单权限	systemSeckillActiveDeleteActive
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	活动统计数据面板	R	菜单权限	systemSeckillActiveChartPanel
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	活动参与人统计列表	R	菜单权限	systemSeckillActiveChartPeople
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	活动订单统计列表	R	菜单权限	systemSeckillActiveChartOrder
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	活动商品统计列表	R	菜单权限	systemSeckillActiveChartProduct
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	列表	R	菜单权限	systemSeckillActiveGetActiveList
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	详情	R	菜单权限	systemSeckillActiveGetActiveInfo
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	创建	C	菜单权限	systemSeckillActiveCreateActive
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	编辑	U	菜单权限	systemSeckillActiveUpdateActive
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	编辑状态	U	菜单权限	systemSeckillActiveUpdateActiveStatus
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	删除	D	菜单权限	systemSeckillActiveDeleteActive
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	活动统计数据面板	R	菜单权限	systemSeckillActiveChartPanel
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	活动参与人统计列表	R	菜单权限	systemSeckillActiveChartPeople
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	活动订单统计列表	R	菜单权限	systemSeckillActiveChartOrder
平台后台	营销 / 秒杀 / 秒杀活动	秒杀活动	活动商品统计列表	R	菜单权限	systemSeckillActiveChartProduct
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	统计	R	菜单权限	systemStoreSeckillProductLstFilter
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	列表	R	菜单权限	systemStoreSeckillProductLst
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	编辑	U	菜单权限	systemStoreSeckillProductUpdate
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	审核	U	菜单权限	systemStoreSeckillProductSwitchStatus
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	显示/隐藏	U	菜单权限	systemStoreSeckillProductChangeUsed
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	设置标签	U	菜单权限	systemStoreSeckillProductLabels
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	列表	R	菜单权限	systemStoreSeckillProductPageLst
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	加入回收站	D	菜单权限	systemStoreSeckillProductDelete
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	删除	D	菜单权限	systemStoreSeckillProductDestory
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	统计	R	菜单权限	systemStoreSeckillProductLstFilter
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	列表	R	菜单权限	systemStoreSeckillProductPageLst
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	列表	R	菜单权限	systemStoreSeckillProductLst
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	详情	R	菜单权限	systemStoreSeckillProductDetail
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	编辑	U	菜单权限	systemStoreSeckillProductUpdate
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	审核	U	菜单权限	systemStoreSeckillProductSwitchStatus
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	显示/隐藏	U	菜单权限	systemStoreSeckillProductChangeUsed
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	设置标签	U	菜单权限	systemStoreSeckillProductLabels
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	加入回收站	D	菜单权限	systemStoreSeckillProductDelete
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	删除	D	菜单权限	systemStoreSeckillProductDestory
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	统计	R	菜单权限	systemStoreSeckillProductLstFilter
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	列表	R	菜单权限	systemStoreSeckillProductPageLst
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	列表	R	菜单权限	systemStoreSeckillProductLst
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	详情	R	菜单权限	systemStoreSeckillProductDetail
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	编辑	U	菜单权限	systemStoreSeckillProductUpdate
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	审核	U	菜单权限	systemStoreSeckillProductSwitchStatus
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	显示/隐藏	U	菜单权限	systemStoreSeckillProductChangeUsed
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	设置标签	U	菜单权限	systemStoreSeckillProductLabels
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	加入回收站	D	菜单权限	systemStoreSeckillProductDelete
平台后台	营销 / 秒杀 / 秒杀管理	秒杀管理	删除	D	菜单权限	systemStoreSeckillProductDestory
平台后台	营销 / 秒杀 / 秒杀配置	秒杀配置	列表	R	菜单权限	systemSeckillConfigLst
平台后台	营销 / 秒杀 / 秒杀配置	秒杀配置	添加	C	菜单权限	systemSeckillConfigCreate
平台后台	营销 / 秒杀 / 秒杀配置	秒杀配置	编辑	U	菜单权限	systemSeckillConfigUpdate
平台后台	营销 / 秒杀 / 秒杀配置	秒杀配置	排序	U	菜单权限	systemSeckillConfigStatus
平台后台	营销 / 秒杀 / 秒杀配置	秒杀配置	删除	D	菜单权限	systemSeckillConfigDelete
平台后台	营销 / 秒杀 / 秒杀配置	秒杀配置	上传图片	C	菜单权限	uploadImage
平台后台	营销 / 秒杀 / 秒杀配置	秒杀配置	图片列表	R	菜单权限	systemAttachmentLst
平台后台	营销 / 积分	积分	积分配置保存	C	路由	systemUserIntegralConfigSave
平台后台	营销 / 积分	积分	积分统计	R	路由	systemUserIntegralTitle
平台后台	营销 / 积分 / 商品分类	商品分类	列表	R	菜单权限	pointsCateLst
平台后台	营销 / 积分 / 商品分类	商品分类	详情	R	菜单权限	pointsCateDetail
平台后台	营销 / 积分 / 商品分类	商品分类	添加	C	菜单权限	pointsCateCreate
平台后台	营销 / 积分 / 商品分类	商品分类	编辑	U	菜单权限	pointsCateUpdate
平台后台	营销 / 积分 / 商品分类	商品分类	修改状态	U	菜单权限	pointsCateStatus
平台后台	营销 / 积分 / 商品分类	商品分类	列表	R	菜单权限	pointsProductLst
平台后台	营销 / 积分 / 商品分类	商品分类	获取规格	R	菜单权限	pointsCateFormatAttr
平台后台	营销 / 积分 / 商品分类	商品分类	编辑	RU	菜单权限	pointsProductDetail
